Row ID,Customer Name,Customer Segment,Order ID,Number of Records,Order Date,Order Priority,Order Quantity,Order Discount,Product Category,Product Container,Product Name,Product Sub-Category,Unit Price,Product Base Margin,Sales,Profit,Ship Date,Ship Mode,Shipping Cost,City,State,Region,Zip Code,Reached on Time
12,Jonathan Doherty,Corporate,69,1,6/3/2012,Not Specified,42,0.09,Furniture,Small Pack,"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",Office Furnishings,30.93,0.44,1186.06,511.69,6/5/2012,Regular Air,3.92,Garner,North Carolina,South,27529,0
13,Jonathan Doherty,Corporate,69,1,6/3/2012,Not Specified,28,0.03,Office Supplies,Wrap Bag,Newell 308,Pens & Art Supplies,1.68,0.60,51.53,0.35,6/5/2012,Express Air,0.7,Garner,North Carolina,South,27529,0
14,Helen Wasserman,Home Office,70,1,12/17/2013,Low,48,0.03,Office Supplies,Wrap Bag,"Super Bands, 12/Pack",Rubber Bands,1.86,0.82,90.05,-107,12/22/2013,Regular Air,2.58,East Meadow,New York,East,11554,0
15,Helen Wasserman,Home Office,70,1,12/17/2013,Low,46,0.05,Technology,Small Box,3285,Telephones and Communication,205.99,0.59,7804.53,2057.166,12/22/2013,Regular Air,5.99,East Meadow,New York,East,11554,1
16,Keith Dawkins,Home Office,96,1,4/16/2012,High,37,0.01,Technology,Small Box,SC7868i,Telephones and Communication,125.99,0.55,4158.1235,1228.887,4/18/2012,Regular Air,8.99,Little Rock,Arkansas,South,72209,0
17,Craig Yedwab,Consumer,97,1,1/28/2013,Medium,26,0.03,Office Supplies,Small Box,Avery 498,Labels,2.89,0.38,75.57,28.24,1/29/2013,Regular Air,0.5,Prescott Valley,Arizona,West,86314,0
18,Pauline Chand,Corporate,129,1,11/18/2015,Low,4,0.09,Office Supplies,Small Box,Xerox 217,Paper,6.48,0.37,32.72,-22.59,11/27/2015,Regular Air,8.19,Moore,Oklahoma,Central,73160,1
19,Roy Collins,Corporate,130,1,5/7/2015,High,3,0.05,Technology,Medium Box,Canon MP41DH Printing Calculator,Office Machines,150.98,0.38,461.89,-309.8244,5/9/2015,Express Air,13.99,Cleveland,Tennessee,South,37311,1
20,Roy Collins,Corporate,130,1,5/7/2015,High,29,0.02,Office Supplies,Small Box,Computer Printout Paper with Letter-Trim Perforations,Paper,18.97,0.37,575.11,71.75,5/8/2015,Regular Air,9.03,Cleveland,Tennessee,South,37311,1
21,Roy Collins,Corporate,130,1,5/7/2015,High,23,0.05,Office Supplies,Small Box,Filing/Storage Totes and Swivel Casters,Storage & Organization,9.71,0.60,236.46,-134.31,5/10/2015,Regular Air,9.45,Cleveland,Tennessee,South,37311,0
22,Emily Phan,Consumer,132,1,6/10/2013,Medium,27,0.03,Technology,Medium Box,Bell Sonecor JB700 Caller ID,Telephones and Communication,7.99,0.60,192.814,-86.196,6/11/2013,Regular Air,5.03,Avenel,New Jersey,East,7001,0
23,Emily Phan,Consumer,132,1,6/10/2013,Medium,30,0.05,Furniture,Jumbo Box,"O'Sullivan Elevations Bookcase, Cherry Finish",Bookcases,130.98,0.69,4011.65,-603.8,6/13/2013,Delivery Truck,54.74,Lewiston,Maine,East,4240,0
24,Michael Dominguez,Home Office,134,1,4/30/2015,Not Specified,11,0.01,Office Supplies,Large Box,Safco Industrial Wire Shelving,Storage & Organization,95.99,0.00,1132.6,-310.21,5/2/2015,Regular Air,35,Brookfield,Wisconsin,Central,53005,0
25,Anne Pryor,Consumer,135,1,10/20/2014,Not Specified,25,0.09,Technology,Small Pack,"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Computer Peripherals,4.98,0.64,125.85,-89.25,10/22/2014,Regular Air,4.62,Troy,New York,East,12180,1
26,Valerie Takahito,Consumer,166,1,9/11/2014,High,10,0.02,Technology,Small Box,i270,Telephones and Communication,65.99,0.55,567.936,-126.093,9/13/2014,Express Air,8.99,Tamarac,Florida,South,33319,1
27,Justin Hirsh,Consumer,193,1,8/7/2013,Critical,14,0.06,Office Supplies,Medium Box,Eldon Simplefile® Box Office®,Storage & Organization,12.44,0.57,174.89,-37.04,8/9/2013,Regular Air,6.27,Bethpage,New York,East,11714,0
28,Maria Zettner,Corporate,194,1,4/4/2015,Medium,49,0.10,Furniture,Wrap Bag,"Master Caster Door Stop, Large Neon Orange",Office Furnishings,7.28,0.42,329.03,-197.25,4/6/2015,Regular Air,7.98,West Linn,Oregon,West,97068,1
29,Maria Zettner,Corporate,194,1,4/4/2015,Medium,6,0.04,Office Supplies,Wrap Bag,Serrated Blade or Curved Handle Hand Letter Openers,"Scissors, Rulers and Trimmers",3.14,0.84,20.19,-13.44,4/6/2015,Regular Air,1.92,West Linn,Oregon,West,97068,1
30,Brad Thomas,Home Office,195,1,12/27/2013,Medium,34,0.03,Office Supplies,Wrap Bag,"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",Pens & Art Supplies,36.55,0.41,1315.74,260.87,12/29/2013,Regular Air,13.89,Long Beach,California,West,90805,0
31,Penelope Sewall,Home Office,197,1,4/6/2014,High,23,0.01,Office Supplies,Small Pack,"Acme® 8"" Straight Scissors","Scissors, Rulers and Trimmers",12.98,0.60,310.52,33.22,4/8/2014,Regular Air,3.14,Miramar,Florida,South,33023,1
32,Bart Folk,Corporate,224,1,6/17/2012,Not Specified,25,0.09,Furniture,Small Box,"Eldon® Expressions™ Wood Desk Accessories, Oak",Office Furnishings,7.38,0.56,184.86,-33.95,6/18/2012,Regular Air,5.21,Lemon Grove,California,West,91945,0
33,Bart Folk,Corporate,224,1,6/17/2012,Not Specified,44,0.04,Office Supplies,Small Box,Xerox 193,Paper,5.98,0.36,267.85,-65.43,6/18/2012,Regular Air,5.15,Lemon Grove,California,West,91945,0
34,Bart Folk,Corporate,224,1,6/17/2012,Not Specified,33,0.04,Office Supplies,Small Box,"Decoflex Hanging Personal Folder File, Blue",Storage & Organization,15.42,0.58,528.5,-149.92,6/18/2012,Regular Air,10.68,Lemon Grove,California,West,91945,0
35,Karen Ferguson,Home Office,225,1,5/24/2014,Critical,24,0.06,Office Supplies,Wrap Bag,Newell 314,Pens & Art Supplies,5.58,0.60,126.58,18.27,5/25/2014,Regular Air,0.7,Holbrook,New York,East,11741,0
36,Karen Ferguson,Home Office,225,1,5/24/2014,Critical,1,0.05,Office Supplies,Wrap Bag,Prismacolor Color Pencil Set,Pens & Art Supplies,19.84,0.44,23.7,-8.97,5/26/2014,Regular Air,4.1,Holbrook,New York,East,11741,0
37,Matt Abelman,Consumer,229,1,12/28/2013,Critical,43,0.11,Furniture,Small Pack,Nu-Dell Executive Frame,Office Furnishings,12.64,0.48,586.11,98.44,12/30/2013,Regular Air,4.98,Blaine,Minnesota,Central,55434,0
38,Peter Fuller,Consumer,229,1,12/28/2013,Critical,24,0.02,Office Supplies,Small Box,GBC Standard Therm-A-Bind Covers,Binders and Binder Accessories,24.92,0.39,599.1,3.8165,12/29/2013,Regular Air,12.98,Atlanta,Georgia,South,30318,1
39,Erin Creighton,Corporate,230,1,10/26/2013,Critical,47,0.06,Office Supplies,Small Pack,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,Pens & Art Supplies,43.98,0.58,2029.75,320.37,10/28/2013,Regular Air,8.99,Burleson,Texas,Central,76028,0
40,Erin Creighton,Corporate,230,1,10/26/2013,Critical,11,0.06,Technology,Small Box,StarTAC ST7762,Telephones and Communication,125.99,0.57,1118.396,-212.333,10/28/2013,Regular Air,8.08,Burleson,Texas,Central,76028,1
41,Sean Braxton,Small Business,231,1,9/28/2012,High,2,0.06,Office Supplies,Small Box,Hoover WindTunnel™ Plus Canister Vacuum,Appliances,363.25,0.57,689.74,-490.84,9/30/2012,Regular Air,19.99,Hollywood,Florida,South,33021,0
42,Liz Willingham,Home Office,258,1,12/28/2013,Critical,21,0.00,Office Supplies,Small Box,Xerox 1984,Paper,6.48,0.36,154.35,-91.14,12/30/2013,Regular Air,8.74,Auburn,Maine,East,4210,1
43,Liz Willingham,Home Office,258,1,12/28/2013,Critical,7,0.00,Office Supplies,Jumbo Drum,"Tennsco Lockers, Gray",Storage & Organization,20.98,0.78,201.36,-284.4,12/29/2013,Delivery Truck,53.03,Brunswick,Maine,East,4011,1
44,Liz Willingham,Home Office,258,1,12/28/2013,Critical,33,0.02,Office Supplies,Small Box,Wilson Jones® Four-Pocket Poly Binders,Binders and Binder Accessories,6.54,0.36,216.77,-55.108,12/30/2013,Regular Air,5.27,Hudson,New Hampshire,East,3051,1
45,Sonia Sunley,Small Business,261,1,6/28/2013,Medium,47,0.04,Technology,Small Box,7160,Telephones and Communication,140.99,0.59,5677.609,1680.786,6/29/2013,Regular Air,4.2,Garden City,Kansas,Central,67846,1
46,Paul Lucas,Corporate,263,1,5/16/2012,High,25,0.09,Office Supplies,Small Box,3M Organizer Strips,Binders and Binder Accessories,5.4,0.37,136.77,-136.252,5/17/2012,Regular Air,7.78,Davis,California,West,95616,0
47,Dorris Love,Home Office,290,1,1/5/2012,Not Specified,24,0.05,Office Supplies,Wrap Bag,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",Paper,7.64,0.36,188.73,-32.48,1/6/2012,Regular Air,5.83,Deer Park,New York,East,11729,0
48,Valerie Takahito,Consumer,292,1,1/12/2015,High,43,0.08,Office Supplies,Small Box,#6 3/4 Gummed Flap White Envelopes,Envelopes,9.9,0.37,412.62,175.54,1/13/2015,Regular Air,1.39,Taylors,South Carolina,South,29687,1
49,Barry French,Consumer,293,1,10/1/2015,High,49,0.07,Office Supplies,Jumbo Drum,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Appliances,208.16,0.58,10123.02,457.81,10/2/2015,Delivery Truck,68.02,Tinley Park,Illinois,Central,60477,1
50,Barry French,Consumer,293,1,10/1/2015,High,27,0.01,Office Supplies,Small Box,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Binders and Binder Accessories,8.69,0.39,244.57,46.7075,10/3/2015,Regular Air,2.99,Tinley Park,Illinois,Central,60477,0
51,Sanjit Chand,Home Office,294,1,7/15/2013,Medium,35,0.06,Office Supplies,Small Box,Fellowes Staxonsteel® Drawer Files,Storage & Organization,193.17,0.71,6375.28,489.02,7/16/2013,Regular Air,19.99,Urbandale,Iowa,Central,50322,1
52,Giulietta Weimer,Corporate,322,1,3/18/2015,Critical,20,0.08,Technology,Small Box,I888 World Phone,Telephones and Communication,155.99,0.60,2634.8555,257.76,3/20/2015,Regular Air,8.08,Allen Park,Michigan,Central,48101,1
53,Giulietta Weimer,Corporate,322,1,3/18/2015,Critical,46,0.10,Office Supplies,Small Box,Xerox 1997,Paper,6.48,0.37,281,-291.59,3/20/2015,Regular Air,10.05,Ann Arbor,Michigan,Central,48104,1
54,Dario Medina,Small Business,323,1,3/25/2012,Critical,20,0.07,Office Supplies,Small Box,Staples Standard Envelopes,Envelopes,5.68,0.38,108.09,25.76,3/27/2012,Regular Air,1.39,Scottsdale,Arizona,West,85254,0
55,Dario Medina,Small Business,323,1,3/25/2012,Critical,2,0.06,Office Supplies,Small Box,Xerox 1964,Paper,22.84,0.39,55.34,-31.24,3/27/2012,Regular Air,11.54,Scottsdale,Arizona,West,85254,0
56,Frank Gastineau,Small Business,324,1,3/19/2015,Critical,25,0.02,Technology,Medium Box,VTech VT20-2481 2.4GHz Two-Line Phone System w/Answering Machine,Telephones and Communication,179.99,0.57,3872.634,667.332,3/21/2015,Regular Air,13.99,Sanford,North Carolina,South,27237,0
57,Craig Yedwab,Corporate,325,1,10/16/2013,Low,9,0.06,Technology,Small Box,282,Telephones and Communication,115.99,0.56,884.1275,-178.706,10/20/2013,Regular Air,4.23,Sanford,Maine,East,4073,0
58,Michelle Tran,Consumer,326,1,6/3/2014,High,34,0.03,Office Supplies,Small Box,"DXL™ Angle-View Binders with Locking Rings, Black",Binders and Binder Accessories,5.99,0.38,218.27,-44.137,6/4/2014,Regular Air,4.92,Columbia,Maryland,East,21044,1
59,Michelle Tran,Consumer,326,1,6/3/2014,High,17,0.05,Office Supplies,Wrap Bag,"Advantus Push Pins, Aluminum Head",Rubber Bands,5.81,0.54,100.95,-21.3,6/4/2014,Regular Air,3.37,Crofton,Maryland,East,21114,1
60,Dean Percer,Home Office,353,1,12/30/2013,Low,21,0.02,Office Supplies,Wrap Bag,"Quartet Alpha® White Chalk, 12/Pack",Pens & Art Supplies,2.21,0.38,46.94,3.88,4/1/2014,Regular Air,1,Redwood City,California,West,94061,0
61,Henry MacAllister,Small Business,355,1,6/13/2012,Low,16,0.00,Technology,Wrap Bag,Accessory4,Telephones and Communication,85.99,0.85,1239.6315,-172.546,6/18/2012,Regular Air,0.99,College Station,Texas,Central,77840,0
62,Ricardo Block,Corporate,358,1,9/19/2013,High,33,0.02,Furniture,Jumbo Box,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Bookcases,48.58,0.69,1640.9,-1348.06,9/21/2013,Delivery Truck,54.11,Lewiston,Idaho,West,83501,0
63,Ricardo Block,Corporate,358,1,9/19/2013,High,33,0.07,Technology,Small Pack,"80 Minute CD-R Spindle, 100/Pack - Staples",Computer Peripherals,39.48,0.54,1235.87,269.27,9/19/2013,Regular Air,1.99,Lewiston,Idaho,West,83501,1
64,Cari Sayre,Corporate,359,1,12/18/2012,Medium,30,0.08,Furniture,Jumbo Box,Bevis 36 x 72 Conference Tables,Tables,124.49,0.63,3659.66,-500.38,12/19/2012,Delivery Truck,51.94,Pleasant Grove,Utah,West,84062,0
65,Sonia Cooley,Corporate,384,1,3/2/2015,Low,50,0.02,Furniture,Jumbo Box,BPI Conference Tables,Tables,146.05,0.71,7666.04,-1820.84,3/9/2015,Delivery Truck,80.2,Bend,Oregon,West,97701,0
66,Tracy Poddar,Corporate,386,1,1/24/2014,High,4,0.02,Office Supplies,Small Box,Avery 501,Labels,3.69,0.38,14.96,-0.03,1/26/2014,Regular Air,0.5,Mount Vernon,Ohio,East,43050,1
67,Tracy Poddar,Corporate,386,1,1/24/2014,High,4,0.09,Office Supplies,Wrap Bag,Avery Hi-Liter Pen Style Six-Color Fluorescent Set,Pens & Art Supplies,3.85,0.44,15.69,-1.59,1/26/2014,Regular Air,0.7,Mount Vernon,Ohio,East,43050,1
68,Jennifer Halladay,Home Office,388,1,12/15/2015,Not Specified,46,0.06,Office Supplies,Medium Box,Harmony HEPA Quiet Air Purifiers,Appliances,11.7,0.50,517.93,-94.73,12/18/2015,Regular Air,6.96,Bartlesville,Oklahoma,Central,74006,1
69,Stuart Calhoun,Consumer,416,1,9/26/2013,Low,20,0.01,Technology,Small Box,5190,Telephones and Communication,65.99,0.59,1156.6715,88.524,10/1/2013,Express Air,7.69,Grove City,Ohio,East,43123,1
70,Robert Barroso,Small Business,417,1,2/5/2012,Medium,39,0.07,Technology,Jumbo Drum,"Hewlett-Packard cp1700 [D, PS] Series Color Inkjet Printers",Office Machines,500.98,0.38,15260.78,8734.88,2/6/2012,Delivery Truck,28.14,East Los Angeles,California,West,90022,0
71,Robert Barroso,Small Business,417,1,2/5/2012,Medium,3,0.10,Office Supplies,Small Box,"Hot File® 7-Pocket, Floor Stand",Storage & Organization,178.47,0.55,540.41,-170.98,2/7/2012,Regular Air,19.99,East Los Angeles,California,West,90022,0
72,Tony Sayre,Small Business,420,1,10/30/2014,Not Specified,8,0.09,Office Supplies,Small Box,Xerox 190,Paper,4.98,0.38,43.29,-20.69,10/30/2014,Regular Air,4.86,Marysville,Washington,West,98270,1
73,Tony Sayre,Small Business,420,1,10/30/2014,Not Specified,6,0.03,Office Supplies,Small Box,Xerox 1950,Paper,5.78,0.36,41.7,-14.56,11/1/2014,Regular Air,5.37,Marysville,Washington,West,98270,1
74,Brad Thomas,Corporate,448,1,8/20/2014,Medium,22,0.09,Technology,Small Box,iDENi80s,Telephones and Communication,65.99,0.59,1162.4005,-284.625,8/22/2014,Regular Air,19.99,Long Beach,California,West,90805,1
75,Candace McMahon,Corporate,449,1,7/19/2014,High,45,0.02,Furniture,Small Box,"Eldon® Expressions™ Wood Desk Accessories, Oak",Office Furnishings,7.38,0.56,356.7,-48.97,7/21/2014,Regular Air,5.21,San Marcos,Texas,Central,78666,1
76,Matt Collins,Consumer,450,1,3/4/2014,Not Specified,29,0.05,Office Supplies,Small Pack,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,Pens & Art Supplies,34.58,0.56,1000.78,109.33,3/5/2014,Express Air,8.99,Fort Dodge,Iowa,Central,50501,1
77,Matt Collins,Consumer,450,1,3/4/2014,Not Specified,35,0.05,Office Supplies,Small Box,Hanging Personal Folder File,Storage & Organization,15.7,0.60,543.72,-211.13,3/6/2014,Regular Air,11.25,Fort Dodge,Iowa,Central,50501,1
78,Darrin Martin,Small Business,454,1,12/26/2014,Low,42,0.09,Office Supplies,Wrap Bag,Staples Bulk Pack Metal Binder Clips,Rubber Bands,6.08,0.35,234.2,56.22,12/28/2014,Regular Air,1.82,Altoona,Pennsylvania,East,16602,0
79,Art Foster,Home Office,481,1,10/7/2015,High,44,0.01,Technology,Small Box,636,Telephones and Communication,115.99,0.57,4509.3775,1426.257,10/9/2015,Regular Air,5.26,Highlands Ranch,Colorado,West,80126,1
80,Clay Rozendal,Corporate,483,1,7/10/2014,High,30,0.08,Technology,Small Box,R380,Telephones and Communication,195.99,0.58,4965.7595,1198.971,7/12/2014,Regular Air,3.99,Rock Island,Illinois,Central,61201,0
81,Valerie Dominguez,Corporate,487,1,8/17/2015,Critical,19,0.07,Office Supplies,Small Box,Belkin 6 Outlet Metallic Surge Strip,Appliances,10.89,0.59,210.4,-18.96,8/18/2015,Regular Air,4.5,Orlando,Florida,South,32839,1
82,Sam Craven,Home Office,512,1,5/19/2014,Low,6,0.06,Furniture,Large Box,"Lifetime Advantage™ Folding Chairs, 4/Carton",Chairs & Chairmats,218.08,0.57,1309.53,19.18,5/19/2014,Regular Air,18.06,East Point,Georgia,South,30344,1
83,Sam Craven,Home Office,512,1,5/19/2014,Low,48,0.01,Office Supplies,Small Box,"Decoflex Hanging Personal Folder File, Blue",Storage & Organization,15.42,0.58,806.37,-166.4,5/21/2014,Express Air,10.68,East Point,Georgia,South,30344,1
84,Arthur Prichep,Home Office,513,1,4/30/2014,High,33,0.00,Furniture,Jumbo Drum,"Global Leather & Oak Executive Chair, Burgundy",Chairs & Chairmats,150.89,0.77,5437.92,-684.57,4/30/2014,Delivery Truck,60.2,Cleveland,Ohio,East,44105,1
85,Carlos Soltero,Consumer,515,1,8/28/2013,Not Specified,19,0.08,Office Supplies,Medium Box,Holmes HEPA Air Purifier,Appliances,21.78,0.50,394.27,30.94,8/30/2013,Regular Air,5.94,Wheeling,Illinois,Central,60090,1
86,Carlos Soltero,Consumer,515,1,8/28/2013,Not Specified,21,0.05,Furniture,Small Pack,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Office Furnishings,6.64,0.37,146.69,4.43,8/30/2013,Regular Air,4.95,Wilmette,Illinois,Central,60091,1
87,Sung Chung,Home Office,548,1,9/20/2012,Critical,41,0.04,Office Supplies,Small Box,Avery 481,Labels,3.08,0.37,129.49,36.02,9/21/2012,Regular Air,0.99,Murray,Kentucky,South,42071,0
88,Sung Chung,Home Office,548,1,9/20/2012,Critical,29,0.02,Office Supplies,Small Box,Xerox 1976,Paper,6.48,0.37,202.95,-50.64,9/21/2012,Regular Air,5.9,Murray,Kentucky,South,42071,0
89,Sung Chung,Home Office,548,1,9/20/2012,Critical,26,0.04,Technology,Small Box,V3682,Telephones and Communication,125.99,0.59,2753.1925,510.489,9/22/2012,Regular Air,4.2,Murray,Kentucky,South,42071,0
90,Ken Brennan,Consumer,549,1,7/12/2015,Critical,13,0.03,Office Supplies,Small Box,Xerox 1922,Paper,4.98,0.36,70.24,-59.75,7/13/2015,Regular Air,7.44,Monroeville,Pennsylvania,East,15146,0
91,Ken Brennan,Consumer,549,1,7/12/2015,Critical,5,0.05,Office Supplies,Small Box,Xerox 1984,Paper,6.48,0.36,40.75,-27.57,7/13/2015,Regular Air,8.74,Monroeville,Pennsylvania,East,15146,1
92,Ken Brennan,Consumer,549,1,7/12/2015,Critical,30,0.05,Office Supplies,Large Box,"Eldon Base for stackable storage shelf, platinum",Storage & Organization,38.94,0.80,1150.88,-911.56,7/12/2015,Express Air,35,Monroeville,Pennsylvania,East,15146,1
93,Joe Elijah,Home Office,610,1,8/1/2014,Critical,38,0.02,Office Supplies,Small Box,Xerox 195,Paper,6.68,0.37,283.65,-29.21,8/3/2014,Express Air,5.41,Fayetteville,Arkansas,South,72701,1
94,Arthur Prichep,Home Office,611,1,1/26/2013,Critical,47,0.04,Office Supplies,Small Box,Portfile® Personal File Boxes,Storage & Organization,17.7,0.59,840.04,-131.27,1/28/2013,Regular Air,9.47,Cleveland,Ohio,East,44105,0
95,Sheri Gordon,Corporate,612,1,10/20/2015,Medium,50,0.10,Office Supplies,Small Box,Xerox 1928,Paper,5.28,0.40,262.87,-166.29,10/22/2015,Regular Air,6.26,Van Buren,Arkansas,South,72956,0
96,Sheri Gordon,Corporate,612,1,10/20/2015,Medium,43,0.01,Technology,Small Box,6190,Telephones and Communication,65.99,0.55,2531.0875,881.676,10/22/2015,Regular Air,2.5,Van Buren,Arkansas,South,72956,0
97,Carl Jackson,Corporate,613,1,6/17/2014,High,12,0.03,Office Supplies,Small Box,"Angle-D Binders with Locking Rings, Label Holders",Binders and Binder Accessories,7.3,0.38,93.54,-54.0385,6/17/2014,Regular Air,7.72,Waukegan,Illinois,Central,60087,0
98,Carl Jackson,Corporate,613,1,6/17/2014,High,22,0.09,Office Supplies,Small Box,"SAFCO Mobile Desk Side File, Wire Frame",Storage & Organization,42.76,0.00,905.08,127.7,6/18/2014,Regular Air,6.22,Waukegan,Illinois,Central,60087,1
99,Dave Hallsten,Corporate,614,1,11/30/2015,High,41,0.00,Furniture,Small Pack,Nu-Dell Leatherette Frames,Office Furnishings,14.34,0.49,628.22,163.81,12/2/2015,Regular Air,5,Camp Springs,Maryland,East,20746,1
100,Dave Hallsten,Corporate,614,1,11/30/2015,High,24,0.07,Furniture,Jumbo Box,Balt Split Level Computer Training Table,Tables,138.75,0.74,3366.1,-335.317125,12/1/2015,Delivery Truck,52.42,Camp Springs,Maryland,East,20746,1
101,Tamara Chand,Consumer,640,1,1/22/2013,High,39,0.02,Furniture,Jumbo Box,O'Sullivan Living Dimensions 2-Shelf Bookcases,Bookcases,120.98,0.75,4913.69,-1153.9,1/23/2013,Delivery Truck,58.64,Pasadena,Texas,Central,77506,0
102,Tamara Chand,Consumer,640,1,1/22/2013,High,24,0.01,Office Supplies,Small Box,Xerox 1939,Paper,18.97,0.37,464.77,29.42,1/23/2013,Regular Air,9.54,Pasadena,Texas,Central,77506,0
103,Monica Federle,Corporate,643,1,3/24/2014,High,21,0.07,Office Supplies,Large Box,"SAFCO Commercial Wire Shelving, Black",Storage & Organization,138.14,0.00,2781.82,-695.26,3/25/2014,Express Air,35,Gurnee,Illinois,Central,60031,1
104,Bill Eplett,Corporate,644,1,4/30/2015,Critical,5,0.01,Furniture,Jumbo Drum,Hon 4070 Series Pagoda™ Round Back Stacking Chairs,Chairs & Chairmats,320.98,0.57,1679.58,-171.92,5/1/2015,Delivery Truck,58.95,Auburn,New York,East,13021,0
105,Harold Engle,Consumer,645,1,12/2/2012,High,42,0.05,Office Supplies,Small Box,GBC Binding covers,Binders and Binder Accessories,12.95,0.40,557.85,89.4455,12/4/2012,Regular Air,4.98,Lafayette,Indiana,Central,47905,0
106,Duane Huffman,Small Business,646,1,11/21/2012,High,18,0.01,Office Supplies,Small Pack,Acme® Forged Steel Scissors with Black Enamel Handles,"Scissors, Rulers and Trimmers",9.31,0.56,173.2,-10.9,11/22/2012,Regular Air,3.98,Lake Jackson,Texas,Central,77566,0
107,Dorothy Badders,Home Office,678,1,2/26/2013,Low,44,0.07,Office Supplies,Small Box,Xerox 198,Paper,4.98,0.38,228.41,-226.36,2/26/2013,Regular Air,8.33,Rockford,Illinois,Central,61107,0
108,Sarah Jordon,Consumer,706,1,9/8/2014,Critical,42,0.05,Office Supplies,Wrap Bag,Newell 326,Pens & Art Supplies,1.76,0.56,75.14,0.82,9/10/2014,Regular Air,0.7,Maplewood,Minnesota,Central,55119,1
109,Susan MacKendrick,Corporate,710,1,1/1/2013,Low,42,0.01,Office Supplies,Small Box,Avery Poly Binder Pockets,Binders and Binder Accessories,3.58,0.37,161.77,-150.374,1/5/2013,Regular Air,5.47,Ocoee,Florida,South,34761,0
